Date,Time,"CPU Package Power [W]",
20.1.2026,23:25:39.126,11.540,
20.1.2026,23:25:39.622,6.672,
20.1.2026,23:25:40.118,6.438,
20.1.2026,23:25:40.617,4.731,
20.1.2026,23:25:41.125,6.271,
20.1.2026,23:25:41.631,5.534,
20.1.2026,23:25:42.123,6.325,
20.1.2026,23:25:42.630,7.557,
20.1.2026,23:25:43.129,4.848,
20.1.2026,23:25:43.627,4.539,
20.1.2026,23:25:44.124,4.316,
20.1.2026,23:25:44.637,5.806,
20.1.2026,23:25:45.151,4.745,
20.1.2026,23:25:45.648,4.599,
20.1.2026,23:25:46.165,4.782,
20.1.2026,23:25:46.677,8.723,
20.1.2026,23:25:47.174,4.718,
20.1.2026,23:25:47.667,5.721,
20.1.2026,23:25:48.174,5.915,
20.1.2026,23:25:48.666,6.604,
20.1.2026,23:25:49.176,5.849,
20.1.2026,23:25:49.672,5.500,
20.1.2026,23:25:50.166,6.928,
20.1.2026,23:25:50.678,4.862,
20.1.2026,23:25:51.192,4.802,
20.1.2026,23:25:51.687,4.811,
20.1.2026,23:25:52.186,4.778,
20.1.2026,23:25:52.685,4.862,
20.1.2026,23:25:53.195,5.041,
20.1.2026,23:25:53.710,5.911,
20.1.2026,23:25:54.225,4.613,
20.1.2026,23:25:54.722,4.605,
20.1.2026,23:25:55.219,5.915,
20.1.2026,23:25:55.716,5.429,
20.1.2026,23:25:56.214,4.312,
20.1.2026,23:25:56.712,6.405,
20.1.2026,23:25:57.224,5.104,
20.1.2026,23:25:57.731,16.209,
20.1.2026,23:25:58.235,20.019,
20.1.2026,23:25:58.741,15.070,
20.1.2026,23:25:59.249,14.577,
20.1.2026,23:25:59.754,16.860,
20.1.2026,23:26:0.253,17.826,
20.1.2026,23:26:0.745,20.479,
20.1.2026,23:26:1.253,21.553,
20.1.2026,23:26:1.755,21.760,
20.1.2026,23:26:2.241,21.805,
20.1.2026,23:26:2.750,8.281,
20.1.2026,23:26:3.262,5.385,
20.1.2026,23:26:3.761,5.519,
20.1.2026,23:26:4.273,5.179,
20.1.2026,23:26:4.785,5.179,
20.1.2026,23:26:5.284,6.225,
20.1.2026,23:26:5.782,6.225,
20.1.2026,23:26:6.278,5.045,
20.1.2026,23:26:6.774,6.326,
20.1.2026,23:26:7.287,5.818,
20.1.2026,23:26:7.785,5.335,
20.1.2026,23:26:8.282,5.702,
20.1.2026,23:26:8.777,4.604,
20.1.2026,23:26:9.290,5.726,
20.1.2026,23:26:9.803,5.500,
20.1.2026,23:26:10.302,5.800,
20.1.2026,23:26:10.800,4.359,
20.1.2026,23:26:11.297,5.699,
20.1.2026,23:26:11.793,6.016,
20.1.2026,23:26:12.306,5.283,
20.1.2026,23:26:12.814,7.979,
20.1.2026,23:26:13.305,18.647,
20.1.2026,23:26:13.813,21.715,
20.1.2026,23:26:14.312,21.816,
20.1.2026,23:26:14.812,19.951,
20.1.2026,23:26:15.318,5.197,
20.1.2026,23:26:15.815,5.868,
20.1.2026,23:26:16.314,5.553,
20.1.2026,23:26:16.813,4.783,
20.1.2026,23:26:17.311,5.285,
20.1.2026,23:26:17.809,4.978,
20.1.2026,23:26:18.321,4.602,
20.1.2026,23:26:18.834,4.457,
20.1.2026,23:26:19.332,4.657,
20.1.2026,23:26:19.831,5.893,
20.1.2026,23:26:20.329,5.744,
20.1.2026,23:26:20.829,5.249,
20.1.2026,23:26:21.331,5.632,
20.1.2026,23:26:21.828,5.092,
20.1.2026,23:26:22.328,5.326,
20.1.2026,23:26:22.823,5.634,
20.1.2026,23:26:23.336,5.469,
20.1.2026,23:26:23.845,7.880,
20.1.2026,23:26:24.343,4.841,
20.1.2026,23:26:24.851,10.583,
20.1.2026,23:26:25.372,32.663,
20.1.2026,23:26:25.880,32.925,
20.1.2026,23:26:26.371,35.008,
20.1.2026,23:26:26.872,34.809,
20.1.2026,23:26:27.372,35.283,
20.1.2026,23:26:27.880,34.489,
20.1.2026,23:26:28.376,34.850,
20.1.2026,23:26:28.868,34.059,
20.1.2026,23:26:29.379,34.163,
20.1.2026,23:26:29.882,34.630,
20.1.2026,23:26:30.391,35.342,
20.1.2026,23:26:30.901,34.302,
20.1.2026,23:26:31.413,35.505,
20.1.2026,23:26:31.927,35.650,
20.1.2026,23:26:32.427,35.685,
20.1.2026,23:26:32.922,34.480,
20.1.2026,23:26:33.420,10.004,
20.1.2026,23:26:33.919,6.162,
20.1.2026,23:26:34.415,5.338,
20.1.2026,23:26:34.929,5.166,
20.1.2026,23:26:35.445,4.749,
20.1.2026,23:26:35.960,5.090,
20.1.2026,23:26:36.474,4.451,
20.1.2026,23:26:36.972,4.815,
20.1.2026,23:26:37.469,4.773,
20.1.2026,23:26:37.967,4.873,
20.1.2026,23:26:38.466,4.505,
20.1.2026,23:26:38.980,4.705,
20.1.2026,23:26:39.477,4.762,
20.1.2026,23:26:39.988,4.595,
20.1.2026,23:26:40.488,4.631,
20.1.2026,23:26:40.987,4.713,
20.1.2026,23:26:41.485,4.728,
20.1.2026,23:26:41.983,4.670,
20.1.2026,23:26:42.482,4.745,
20.1.2026,23:26:42.992,6.829,
20.1.2026,23:26:43.509,19.029,
20.1.2026,23:26:44.020,22.849,
20.1.2026,23:26:44.530,22.743,
20.1.2026,23:26:45.034,22.132,
20.1.2026,23:26:45.525,6.675,
20.1.2026,23:26:46.037,5.520,
20.1.2026,23:26:46.534,5.028,
20.1.2026,23:26:47.035,4.855,
20.1.2026,23:26:47.531,4.841,
20.1.2026,23:26:48.030,4.832,
20.1.2026,23:26:48.528,4.560,
20.1.2026,23:26:49.040,5.140,
20.1.2026,23:26:49.552,5.064,
20.1.2026,23:26:50.048,4.666,
20.1.2026,23:26:50.546,4.829,
20.1.2026,23:26:51.044,4.461,
20.1.2026,23:26:51.543,4.913,
20.1.2026,23:26:52.056,4.559,
20.1.2026,23:26:52.571,4.634,
20.1.2026,23:26:53.086,4.693,
20.1.2026,23:26:53.599,5.113,
20.1.2026,23:26:54.097,4.662,
20.1.2026,23:26:54.593,4.790,
20.1.2026,23:26:55.089,8.888,
20.1.2026,23:26:55.597,19.208,
20.1.2026,23:26:56.089,21.942,
20.1.2026,23:26:56.608,22.215,
20.1.2026,23:26:57.110,22.512,
20.1.2026,23:26:57.614,7.189,
20.1.2026,23:26:58.115,5.043,
20.1.2026,23:26:58.613,4.927,
20.1.2026,23:26:59.112,4.635,
20.1.2026,23:26:59.610,4.635,
20.1.2026,23:27:0.108,5.225,
20.1.2026,23:27:0.609,5.308,
20.1.2026,23:27:1.105,4.940,
20.1.2026,23:27:1.600,4.635,
20.1.2026,23:27:2.113,5.055,
20.1.2026,23:27:2.612,4.618,
20.1.2026,23:27:3.112,4.750,
20.1.2026,23:27:3.611,4.485,
20.1.2026,23:27:4.108,5.212,
20.1.2026,23:27:4.622,4.628,
20.1.2026,23:27:5.122,4.455,
20.1.2026,23:27:5.620,4.552,
20.1.2026,23:27:6.118,4.869,
20.1.2026,23:27:6.629,4.736,
20.1.2026,23:27:7.127,4.667,
20.1.2026,23:27:7.617,8.651,
20.1.2026,23:27:8.124,20.512,
20.1.2026,23:27:8.616,21.850,
20.1.2026,23:27:9.125,23.000,
20.1.2026,23:27:9.623,20.376,
20.1.2026,23:27:10.118,5.521,
20.1.2026,23:27:10.632,5.339,
20.1.2026,23:27:11.129,5.032,
20.1.2026,23:27:11.629,4.812,
20.1.2026,23:27:12.127,5.131,
20.1.2026,23:27:12.627,4.738,
20.1.2026,23:27:13.123,4.791,
20.1.2026,23:27:13.634,4.690,
20.1.2026,23:27:14.133,4.899,
20.1.2026,23:27:14.645,4.680,
20.1.2026,23:27:15.144,4.503,
20.1.2026,23:27:15.642,4.627,
20.1.2026,23:27:16.140,4.973,
20.1.2026,23:27:16.639,4.561,
20.1.2026,23:27:17.137,4.653,
20.1.2026,23:27:17.637,4.686,
20.1.2026,23:27:18.136,4.738,
20.1.2026,23:27:18.636,5.599,
20.1.2026,23:27:19.133,4.636,
20.1.2026,23:27:19.639,11.843,
20.1.2026,23:27:20.132,18.348,
20.1.2026,23:27:20.636,21.413,
20.1.2026,23:27:21.136,23.210,
20.1.2026,23:27:21.640,22.881,
20.1.2026,23:27:22.140,7.253,
20.1.2026,23:27:22.640,5.522,
20.1.2026,23:27:23.141,5.269,
20.1.2026,23:27:23.652,4.692,
20.1.2026,23:27:24.149,6.123,
20.1.2026,23:27:24.661,4.666,
20.1.2026,23:27:25.158,4.676,
20.1.2026,23:27:25.655,5.167,
20.1.2026,23:27:26.153,4.949,
20.1.2026,23:27:26.649,4.723,
20.1.2026,23:27:27.148,4.732,
20.1.2026,23:27:27.661,5.004,
20.1.2026,23:27:28.158,5.068,
20.1.2026,23:27:28.661,4.727,
20.1.2026,23:27:29.161,4.773,
20.1.2026,23:27:29.656,4.612,
20.1.2026,23:27:30.155,4.762,
20.1.2026,23:27:30.652,4.762,
20.1.2026,23:27:31.163,4.541,
20.1.2026,23:27:31.675,4.629,
20.1.2026,23:27:32.168,7.728,
20.1.2026,23:27:32.674,19.867,
20.1.2026,23:27:33.163,22.181,
20.1.2026,23:27:33.674,22.277,
20.1.2026,23:27:34.167,16.622,
20.1.2026,23:27:34.668,5.614,
20.1.2026,23:27:35.167,5.066,
20.1.2026,23:27:35.665,5.114,
20.1.2026,23:27:36.179,4.628,
20.1.2026,23:27:36.674,4.909,
20.1.2026,23:27:37.175,4.555,
20.1.2026,23:27:37.670,4.939,
20.1.2026,23:27:38.169,4.552,
20.1.2026,23:27:38.668,5.379,
20.1.2026,23:27:39.167,4.499,
20.1.2026,23:27:39.665,5.044,
20.1.2026,23:27:40.166,4.459,
20.1.2026,23:27:40.667,4.985,
20.1.2026,23:27:41.164,4.182,
20.1.2026,23:27:41.678,4.521,
20.1.2026,23:27:42.176,4.374,
20.1.2026,23:27:42.674,4.851,
20.1.2026,23:27:43.172,4.382,
20.1.2026,23:27:43.667,4.737,
20.1.2026,23:27:44.174,13.588,
20.1.2026,23:27:44.664,21.399,
20.1.2026,23:27:45.169,22.069,
20.1.2026,23:27:45.667,21.106,
20.1.2026,23:27:46.175,6.292,
20.1.2026,23:27:46.670,5.662,
20.1.2026,23:27:47.186,4.809,
20.1.2026,23:27:47.682,4.855,
20.1.2026,23:27:48.181,4.675,
20.1.2026,23:27:48.693,4.971,
20.1.2026,23:27:49.191,4.672,
20.1.2026,23:27:49.688,4.634,
20.1.2026,23:27:50.185,4.557,
20.1.2026,23:27:50.685,4.957,
20.1.2026,23:27:51.182,4.371,
20.1.2026,23:27:51.681,4.693,
20.1.2026,23:27:52.181,4.548,
20.1.2026,23:27:52.694,4.630,
20.1.2026,23:27:53.209,4.571,
20.1.2026,23:27:53.706,4.743,
20.1.2026,23:27:54.204,4.470,
20.1.2026,23:27:54.701,4.891,
20.1.2026,23:27:55.199,4.535,
20.1.2026,23:27:55.706,9.069,
20.1.2026,23:27:56.196,17.524,
20.1.2026,23:27:56.702,20.640,
20.1.2026,23:27:57.201,21.469,
20.1.2026,23:27:57.694,12.718,
20.1.2026,23:27:58.202,5.172,
20.1.2026,23:27:58.702,5.296,
20.1.2026,23:27:59.201,4.915,
20.1.2026,23:27:59.699,4.865,
20.1.2026,23:28:0.199,4.902,
20.1.2026,23:28:0.696,5.045,
20.1.2026,23:28:1.210,4.908,
20.1.2026,23:28:1.707,4.786,
20.1.2026,23:28:2.206,4.786,
20.1.2026,23:28:2.704,4.671,
20.1.2026,23:28:3.202,5.166,
20.1.2026,23:28:3.699,4.449,
20.1.2026,23:28:4.214,4.780,
20.1.2026,23:28:4.724,4.832,
20.1.2026,23:28:5.222,4.919,
20.1.2026,23:28:5.719,4.878,
20.1.2026,23:28:6.218,4.779,
20.1.2026,23:28:6.717,4.833,
20.1.2026,23:28:7.213,4.994,
20.1.2026,23:28:7.724,5.341,
20.1.2026,23:28:8.221,12.219,
20.1.2026,23:28:8.717,6.364,
20.1.2026,23:28:9.210,5.924,
20.1.2026,23:28:9.719,6.025,
20.1.2026,23:28:10.211,7.932,
20.1.2026,23:28:10.718,6.258,
20.1.2026,23:28:11.224,7.020,
Date,Time,"CPU Package Power [W]",
,,CPU [#0]: AMD Ryzen 5 8645HS: Enhanced,
